연번,호선,역번호,역명,2021년1월,2021년2월,2021년3월,2021년4월,2021년5월,2021년6월,2021년7월,2021년8월,2021년9월,2021년10월,2021년11월
154,5,2545,군자(5),273935,270943,338696,333559,328388,331998,301959,287196,285567,323516,341474
155,5,2546,아차산,327027,325136,407558,418636,415590,391092,345942,340709,354963,393835,398869
156,5,2547,광나루,259527,260769,328608,327115,322881,326807,289075,277433,288078,326483,340521
157,5,2548,천호(5),412031,411138,502282,492633,492454,491620,450122,432749,433279,485097,503623
158,5,2549,강동,415693,398782,495352,476356,457368,474751,435470,414882,408541,453030,479269
159,5,2550,길동,189447,182650,222011,224393,220286,223875,209297,200072,198459,215085,226691
160,5,2551,굽은다리,203244,196629,240481,240818,238112,247617,234484,221272,215551,236678,246027
161,5,2552,명일,191884,190717,236499,242459,233209,240002,213408,204575,205940,229167,244408
162,5,2553,고덕,191822,190655,241521,244090,236329,247334,227147,222438,221626,245081,256738
163,5,2554,상일동,338016,337112,420200,382581,368032,382610,347349,330279,328337,359706,381000
164,5,2555,둔촌동,191646,188766,233619,230249,226404,234187,213512,202603,202030,222936,235286
165,5,2556,올림픽공원(5),78758,77129,99443,102177,102185,105596,92696,85991,93141,111287,111637
166,5,2557,방이,160950,157277,193985,189214,185244,193236,175392,168839,169599,186838,200291
167,5,2558,오금(5),79048,75694,97580,98721,92970,98252,88477,84358,85326,94211,99800
168,5,2559,개롱,148085,144743,180963,180525,174774,182298,167173,160333,161013,174920,183742
169,5,2560,거여,167790,164400,213239,211309,204858,218404,200462,195118,199092,220043,234030
170,5,2561,마천,137858,134831,169784,171345,168687,174865,158177,150690,155012,174110,185042
171,5,2562,강일,,,14548,86396,85867,90626,81211,78691,83230,94743,102971
172,5,2563,미사,315670,303234,378934,395587,387589,402198,368562,361139,366819,412758,433731
173,5,2564,하남풍산,116985,115122,137157,103332,102749,107910,100885,95487,96405,106130,112861
174,5,2565,하남시청,,,23288,139152,141502,144798,133634,131980,141123,159469,167435
175,5,2566,하남검단산,,,27353,144407,143200,141915,126479,124417,132254,149900,149934
176,6,2611,응암,396225,388931,477190,475448,460128,471572,436135,418065,418296,452768,469933
177,6,2612,역촌,98782,95562,116593,112310,114582,119489,114465,110238,109275,117247,122437
178,6,2613,불광(6),97487,98409,124044,122832,120085,121693,109120,103337,104074,115171,118214
179,6,2614,독바위,69184,68385,83003,82265,80736,82245,76720,73765,74414,80831,80340
180,6,2616,구산,126919,124975,155588,153830,150614,154377,145129,142017,140706,152316,156592
181,6,2617,새절,268822,266296,331164,331675,317425,326737,295410,281411,284601,311325,324760
182,6,2618,증산,228095,223252,273539,271331,263644,268576,247755,238257,238696,260499,270466
183,6,2619,디지털미디어시티(6),326306,315183,394108,390213,366690,391517,350785,329455,326639,357719,395492
184,6,2620,월드컵경기장,105880,110829,139882,148153,144369,142044,126866,124863,140507,178280,142075
185,6,2621,마포구청,283595,279410,344365,339767,331092,343932,320488,304918,297992,324450,348040
186,6,2622,망원,341952,362355,427743,420985,430239,426564,378405,376911,389391,412207,419540
187,6,2623,합정(6),269116,285620,351505,345581,345381,354083,306315,299806,301454,344972,364567
188,6,2624,상수,184976,197854,240521,237484,245632,254128,210329,215115,215010,244701,267649
189,6,2625,광흥창,181469,181591,230048,225451,216911,226268,203813,196027,195908,212318,232017
190,6,2626,대흥,174388,172789,221725,218484,214184,221004,202051,194745,194149,209206,224873
191,6,2627,공덕(6),375674,373170,468414,461721,433343,457462,402621,381962,383644,423510,470929
192,6,2628,효창공원앞,139119,136160,172012,168319,163372,169328,150003,142185,144598,158773,171057
193,6,2629,삼각지(6),105036,106973,137390,137685,135152,143865,125874,121580,122378,140065,149887
194,6,2630,녹사평,101369,110251,137094,138289,144059,142952,117200,118496,125234,142646,141456
195,6,2631,이태원,205412,229811,287197,284991,296480,292719,231375,227275,265777,333744,328453
196,6,2632,한강진,176164,205876,261322,258723,248431,267448,223849,209838,228896,267061,279722
197,6,2633,버티고개,49896,48793,59946,59897,59250,56864,49731,49287,49193,45216,51115
198,6,2634,약수(6),77970,77572,96057,95151,93066,96575,87815,83032,82643,95378,98811
199,6,2635,청구(6),88250,86410,110022,106976,103255,106459,98097,92052,93473,101454,106250
200,6,2636,신당(6),176049,171597,224343,223249,216929,223679,209823,200757,206422,225029,228930
201,6,2637,동묘앞(6),187300,186738,230366,230415,233827,229113,215448,205444,208397,227931,230006
202,6,2638,창신,64121,61780,81180,80305,76436,79560,69932,66754,67508,73033,79327
203,6,2639,보문,149694,146143,181074,178765,177154,179471,163254,155899,158483,172586,182443
204,6,2640,안암,204900,208619,280262,269652,266993,270541,228189,220732,230796,256884,292638
205,6,2641,고려대,162725,163220,205035,202830,197368,201251,176894,169339,173885,190779,207406
206,6,2642,월곡,247803,240628,300736,295962,289288,296419,275812,261586,262457,285653,306923
207,6,2643,상월곡,123572,119265,150541,150494,147724,152598,138547,131839,134633,146308,153405
208,6,2644,돌곶이,180338,178807,231193,227830,225905,231709,209956,201360,202500,220906,242587
209,6,2645,석계(6),281655,275837,343107,339926,332124,339508,307191,295503,300172,329562,349977
210,6,2646,태릉입구(6),127205,128388,163072,161127,174957,163267,146014,142150,143019,159073,166294
211,6,2647,화랑대,191079,189283,238487,237951,232848,242499,214741,205084,208394,234387,252580
212,6,2648,봉화산,187715,182252,225027,221921,214751,224002,208438,196822,197902,215698,227469
213,7,2711,장암,21099,22968,29806,30460,31072,31005,28277,27942,28743,31318,29772
214,7,2712,도봉산(7),243086,243428,303355,309130,307978,308137,275078,263072,274182,311268,312814
215,7,2713,수락산,290693,287541,352917,351993,348747,357604,330073,317525,320350,347339,346077
216,7,2714,마들,270906,263237,321166,318599,310561,321865,299510,290023,290526,314774,331129
217,7,2715,노원(7),458834,461409,565718,555211,552011,560864,524128,496926,495216,533716,563304
218,7,2716,중계,282514,277287,349461,351836,338558,353562,315553,300321,307853,337600,353706
219,7,2717,하계,368889,360830,451632,446005,434776,448103,404113,387121,392539,430465,453699
220,7,2718,공릉,258780,257660,326036,320783,317344,322516,284273,272219,281771,308849,328947
221,7,2719,태릉입구(7),167717,168462,211806,214977,233481,217673,196303,188801,192230,213607,224559
222,7,2720,먹골,228362,221206,270104,265673,264069,268550,250784,239832,238160,261772,271680
223,7,2721,중화,247629,239148,294878,292618,285391,289664,269278,257749,256874,278610,291835
224,7,2722,상봉(7),368117,359663,440024,435051,430502,439666,400534,381006,383941,421133,443217
225,7,2723,면목,347365,333566,417222,417438,400313,411135,377810,364882,365561,402113,424922
226,7,2724,사가정,377249,368197,450247,445349,436414,447756,408039,392198,392388,428618,443114
227,7,2725,용마산,133917,133307,165168,164934,162206,164652,150014,145295,148494,160710,165309
228,7,2726,중곡,214696,208173,252476,247121,241574,246832,232382,225086,228577,250848,266633
229,7,2727,군자(7),268098,260073,320877,317561,312383,320904,298431,285364,283103,308654,325152
230,7,2728,어린이대공원,262019,253310,343402,355919,348917,336928,287121,276554,291262,324566,353268
231,7,2729,건대입구(7),286764,278044,350464,339402,344872,337699,304104,297643,301381,335681,363781
232,7,2730,뚝섬유원지,158475,180032,235138,279722,279114,257920,201597,198451,243795,245730,215258
233,7,2731,청담,461405,450688,568146,557352,527445,557125,491940,459062,452343,506438,572187
234,7,2732,강남구청,380782,371107,468582,464708,439168,466678,420807,398751,390750,436732,479637
235,7,2733,학동,543068,516982,652461,642963,595112,646952,584316,537999,519018,575496,662245
236,7,2734,논현,473187,461065,571539,565931,535412,567703,520533,488180,476068,520353,576926
237,7,2735,반포,122629,121375,152535,151338,147782,151868,137608,131075,132041,145179,153259
238,7,2736,고속터미널(7),291005,295156,358281,356058,353314,365773,318628,308018,319317,353330,379511
239,7,2737,내방,324923,311928,383291,373575,362205,380708,351252,334342,328937,353656,387125
